paper,section,original_url,normalized_url,domain,extension,heuristica_1_matched,heuristica_1_score,heuristica_1_reason,heuristica_1_direct_extension,heuristica_1_candidate_dataset_links,heuristica_1_external_candidate_links_not_used,heuristica_1_page_context,heuristica_1_is_json_response,heuristica_2_matched,heuristica_2_score,heuristica_2_reason,heuristica_2_content_type,heuristica_2_content_disposition,heuristica_2_final_url,heuristica_2_final_extension,heuristica_2_signals,heuristica_3_matched,heuristica_3_score,heuristica_3_reason,heuristica_3_json_path,heuristica_3_dataset_like_url_count,heuristica_3_sample_dataset_like_urls,heuristica_3_dataset_name_count,heuristica_3_matched_dataset_name,heuristica_3_sample_dataset_names,heuristica_3_signals,heuristica_4_used,heuristica_4_matched,heuristica_4_confidence,heuristica_4_category,heuristica_4_reason,heuristica_4_evidence,heuristica_4_risk_of_false_positive,heuristica_4_signals,total_score,label,decision_reason
1505.04597v1.pdf,target,http://www.codesolorzano.com/celltrackingchallenge/Cell_Tracking_Challenge/Welcome.html,http://codesolorzano.com/celltrackingchallenge/Cell_Tracking_Challenge/Welcome.html,codesolorzano.com,.html,False,0,no_relevant_dataset_download_link_found_in_page,.html,[],[],"{""matched"": false, ""score"": 0, ""text_context"": {""matched"": false, ""score"": 0, ""signals"": [], ""matched_terms"": [], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,http://codesolorzano.com/celltrackingchallenge/Cell_Tracking_Challenge/Welcome.html,.html,,False,0,dataset_json_does_not_confirm_current_url,pdfs\1505.04597v1.dataset.json,0,[],2,,"[""ImageNet dataset"", ""images""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1505.04597v1.pdf,target,http://brainiac2.mit.edu/isbi_challenge/,http://brainiac2.mit.edu/isbi_challenge,brainiac2.mit.edu,,False,0,page_download_error,,[],[],{},,False,0,http_error,,,,,,False,0,dataset_json_does_not_confirm_current_url,pdfs\1505.04597v1.dataset.json,0,[],2,,"[""ImageNet dataset"", ""images""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1505.04597v1.pdf,abstract,http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net,http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net,lmb.informatik.uni-freiburg.de,,False,0,no_relevant_dataset_download_link_found_in_page,,[],[],"{""matched"": true, ""score"": 4, ""text_context"": {""matched"": true, ""score"": 4, ""signals"": [""page_has_dataset_terms"", ""page_has_download_terms""], ""matched_terms"": [""available"", ""available at"", ""dataset"", ""datasets"", ""download""], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://lmb.informatik.uni-freiburg.de/people/ronneber/u-net/,,,False,0,dataset_json_does_not_confirm_current_url,pdfs\1505.04597v1.dataset.json,0,[],2,,"[""ImageNet dataset"", ""images""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1506.02640v5.pdf,target,https://github.com/BVLC/caffe/wiki/Models-accuracy-on-ImageNet-2012-val.Ac-cessed,https://github.com/BVLC/caffe/wiki/Models-accuracy-on-ImageNet-2012-val,github.com,,False,0,no_relevant_dataset_download_link_found_in_page,,[],[],"{""matched"": false, ""score"": 2, ""text_context"": {""matched"": false, ""score"": 2, ""signals"": [""page_has_dataset_terms"", ""page_has_download_terms""], ""matched_terms"": [""available"", ""features""], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://github.com/BVLC/caffe/wiki/Models-accuracy-on-ImageNet-2012-val,,,True,4,dataset_json_confirms_current_url,pdfs\1506.02640v5.dataset.json,0,[],11,ImageNet 1000-class competition dataset,"[""ImageNet 1000-class competition dataset"", ""ImageNet 2012 valida- tion set"", ""ImageNet 2012 valida-\\ntion set"", ""ImageNet \\n1000-class competition dataset"", ""PASCAL VOC"", ""PASCAL VOC 2007"", ""PASCAL VOC detection dataset"", ""People-Art"", ""People-Art Dataset"", ""Picasso Dataset"", ""YOLO detection""]",dataset_name_from_json_appears_in_input_url,False,False,0.0,not_used,disabled_or_not_needed,[],,,4,dataset,heuristica_3
1506.02640v5.pdf,target,"http://pjreddie.com/darknet/,2013-2016.3",http://pjreddie.com/darknet,pjreddie.com,,False,0,no_relevant_dataset_download_link_found_in_page,,[],[],"{""matched"": false, ""score"": 0, ""text_context"": {""matched"": false, ""score"": 0, ""signals"": [], ""matched_terms"": [], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://pjreddie.com/darknet/,,,False,0,dataset_json_does_not_confirm_current_url,pdfs\1506.02640v5.dataset.json,0,[],11,,"[""ImageNet 1000-class competition dataset"", ""ImageNet 2012 valida- tion set"", ""ImageNet 2012 valida-\\ntion set"", ""ImageNet \\n1000-class competition dataset"", ""PASCAL VOC"", ""PASCAL VOC 2007"", ""PASCAL VOC detection dataset"", ""People-Art"", ""People-Art Dataset"", ""Picasso Dataset"", ""YOLO detection""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1506.02640v5.pdf,body,http://pjreddie.com/yolo/.Second,http://pjreddie.com/yolo,pjreddie.com,,False,0,no_relevant_dataset_download_link_found_in_page,,[],[],"{""matched"": false, ""score"": 0, ""text_context"": {""matched"": false, ""score"": 0, ""signals"": [], ""matched_terms"": [], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://pjreddie.com/yolo,,,False,0,dataset_json_does_not_confirm_current_url,pdfs\1506.02640v5.dataset.json,0,[],11,,"[""ImageNet 1000-class competition dataset"", ""ImageNet 2012 valida- tion set"", ""ImageNet 2012 valida-\\ntion set"", ""ImageNet \\n1000-class competition dataset"", ""PASCAL VOC"", ""PASCAL VOC 2007"", ""PASCAL VOC detection dataset"", ""People-Art"", ""People-Art Dataset"", ""Picasso Dataset"", ""YOLO detection""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1512.02595v1.pdf,target,http://arxiv.org/abs/1508.04395,https://arxiv.org/abs/1508.04395,arxiv.org,.04395,False,0,no_relevant_dataset_download_link_found_in_page,.04395,[],[],"{""matched"": false, ""score"": 2, ""text_context"": {""matched"": false, ""score"": 2, ""signals"": [""page_has_dataset_terms"", ""page_has_download_terms""], ""matched_terms"": [""access"", ""features""], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://arxiv.org/abs/1508.04395,.04395,has_content_length,False,0,dataset_json_does_not_confirm_current_url,pdfs\1512.02595v1.dataset.json,0,[],22,,"[""CHiME 2015 \\ndevelopment datasets"", ""CHiME 2015 development datasets"", ""Chinese \\ncharacter set"", ""Chinese character set"", ""English (3,600 hours"", ""English dataset"", ""Fisher corpora"", ""LDC catalog"", ""LibriSpeech corpus"", ""LibriSpeech dataset"", ""Mandarin (1,400 hours) datasets"", ""Mandarin dataset"", ""Mandarin datasets"", ""Noisy development sets"", ""Regular"", ""Switchboard"", ""VoxForge data"", ""Wall Street Journal (WSJ"", ""Wall Street Journal (WSJ) corpus"", ""Wall Street Journal \\n(WSJ) corpus""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1512.02595v1.pdf,target,https://nvlabs.github.io/moderngpu/,https://nvlabs.github.io/moderngpu,nvlabs.github.io,,False,0,no_relevant_dataset_download_link_found_in_page,,[],[],"{""matched"": false, ""score"": 0, ""text_context"": {""matched"": false, ""score"": 0, ""signals"": [], ""matched_terms"": [], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://nvlabs.github.io/moderngpu,,has_content_length,False,0,dataset_json_does_not_confirm_current_url,pdfs\1512.02595v1.dataset.json,0,[],22,,"[""CHiME 2015 \\ndevelopment datasets"", ""CHiME 2015 development datasets"", ""Chinese \\ncharacter set"", ""Chinese character set"", ""English (3,600 hours"", ""English dataset"", ""Fisher corpora"", ""LDC catalog"", ""LibriSpeech corpus"", ""LibriSpeech dataset"", ""Mandarin (1,400 hours) datasets"", ""Mandarin dataset"", ""Mandarin datasets"", ""Noisy development sets"", ""Regular"", ""Switchboard"", ""VoxForge data"", ""Wall Street Journal (WSJ"", ""Wall Street Journal (WSJ) corpus"", ""Wall Street Journal \\n(WSJ) corpus""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1512.02595v1.pdf,target,http://arxiv.org/abs/1508.01211,https://arxiv.org/abs/1508.01211,arxiv.org,.01211,False,0,no_relevant_dataset_download_link_found_in_page,.01211,[],[],"{""matched"": false, ""score"": 2, ""text_context"": {""matched"": false, ""score"": 2, ""signals"": [""page_has_dataset_terms"", ""page_has_download_terms""], ""matched_terms"": [""access"", ""features""], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://arxiv.org/abs/1508.01211,.01211,has_content_length,False,0,dataset_json_does_not_confirm_current_url,pdfs\1512.02595v1.dataset.json,0,[],22,,"[""CHiME 2015 \\ndevelopment datasets"", ""CHiME 2015 development datasets"", ""Chinese \\ncharacter set"", ""Chinese character set"", ""English (3,600 hours"", ""English dataset"", ""Fisher corpora"", ""LDC catalog"", ""LibriSpeech corpus"", ""LibriSpeech dataset"", ""Mandarin (1,400 hours) datasets"", ""Mandarin dataset"", ""Mandarin datasets"", ""Noisy development sets"", ""Regular"", ""Switchboard"", ""VoxForge data"", ""Wall Street Journal (WSJ"", ""Wall Street Journal (WSJ) corpus"", ""Wall Street Journal \\n(WSJ) corpus""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
1512.02595v1.pdf,target,http://arxiv.org/abs/1412.1602,https://arxiv.org/abs/1412.1602,arxiv.org,.1602,False,0,no_relevant_dataset_download_link_found_in_page,.1602,[],[],"{""matched"": false, ""score"": 3, ""text_context"": {""matched"": false, ""score"": 3, ""signals"": [""page_has_dataset_terms"", ""page_has_download_terms""], ""matched_terms"": [""access"", ""dataset"", ""features""], ""local_context_samples"": []}, ""json_context"": {""matched"": false, ""score"": 0, ""signals"": []}, ""ai_context"": {""used"": false, ""matched"": false, ""label"": """", ""score"": 0.0, ""reason"": ""disabled""}}",False,False,0,no_http_metadata_dataset_signal,text/html,,https://arxiv.org/abs/1412.1602,.1602,has_content_length,False,0,dataset_json_does_not_confirm_current_url,pdfs\1512.02595v1.dataset.json,0,[],22,,"[""CHiME 2015 \\ndevelopment datasets"", ""CHiME 2015 development datasets"", ""Chinese \\ncharacter set"", ""Chinese character set"", ""English (3,600 hours"", ""English dataset"", ""Fisher corpora"", ""LDC catalog"", ""LibriSpeech corpus"", ""LibriSpeech dataset"", ""Mandarin (1,400 hours) datasets"", ""Mandarin dataset"", ""Mandarin datasets"", ""Noisy development sets"", ""Regular"", ""Switchboard"", ""VoxForge data"", ""Wall Street Journal (WSJ"", ""Wall Street Journal (WSJ) corpus"", ""Wall Street Journal \\n(WSJ) corpus""]",,False,False,0.0,not_used,disabled_or_not_needed,[],,,0,not_dataset,no_heuristic_matched
